pii,workId,publishedDate,updatedDate
S2405844017319369,85076113211,202001,20200713
S2405844017319369,85062296441,201904,20200313
S2405844017319369,85084418129,202006,20200519
S2405844017319369,85050300726,201809,20200310
S2405844017319369,85057795354,201811,20200211
S2405844017319369,85079718429,202003,20200406
S2405844017319369,85050364633,201807,20200705
S2405844017319369,85046993486,201806,20200304
S2405844017319369,85048835702,201807,20200614
S2405844017319369,85057131568,201812,20200402
S2405844017319369,85086507221,202008,20200622
S2405844017319369,85051352669,201810,20200327
S2405844017319369,85080981851,202004,20200403
S2405844017319369,85078304790,202003,20200203
S2405844017319369,85082305751,202005,20200409
